Field name	Description	Type	Versions
fix.Account	Account (1)	Character string	1.0.0 to 4.2.3
fix.AccountType	AccountType (581)	Character string	1.0.0 to 4.2.3
fix.AccruedInterestAmt	AccruedInterestAmt (159)	Character string	1.0.0 to 4.2.3
fix.AccruedInterestRate	AccruedInterestRate (158)	Character string	1.0.0 to 4.2.3
fix.AcctIDSource	AcctIDSource (660)	Character string	1.2.0 to 4.2.3
fix.Adjustment	Adjustment (334)	Character string	1.0.0 to 4.2.3
fix.AdjustmentType	AdjustmentType (718)	Character string	1.2.0 to 4.2.3
fix.AdvId	AdvId (2)	Character string	1.0.0 to 4.2.3
fix.AdvRefID	AdvRefID (3)	Character string	1.0.0 to 4.2.3
fix.AdvSide	AdvSide (4)	Character string	1.0.0 to 4.2.3
fix.AdvTransType	AdvTransType (5)	Character string	1.0.0 to 4.2.3
fix.AffectedOrderID	AffectedOrderID (535)	Character string	1.0.0 to 4.2.3
fix.AffectedSecondaryOrderID	AffectedSecondaryOrderID (536)	Character string	1.0.0 to 4.2.3
fix.AffirmStatus	AffirmStatus (940)	Character string	1.2.0 to 4.2.3
fix.AggregatedBook	AggregatedBook (266)	Character string	1.0.0 to 4.2.3
fix.AggressorIndicator	AggressorIndicator (1057)	Character string	1.10.0 to 4.2.3
fix.AgreementCurrency	AgreementCurrency (918)	Character string	1.2.0 to 4.2.3
fix.AgreementDate	AgreementDate (915)	Character string	1.2.0 to 4.2.3
fix.AgreementDesc	AgreementDesc (913)	Character string	1.2.0 to 4.2.3
fix.AgreementID	AgreementID (914)	Character string	1.2.0 to 4.2.3
fix.AllocAccount	AllocAccount (79)	Character string	1.0.0 to 4.2.3
fix.AllocAccountType	AllocAccountType (798)	Character string	1.2.0 to 4.2.3
fix.AllocAccruedInterestAmt	AllocAccruedInterestAmt (742)	Character string	1.2.0 to 4.2.3
fix.AllocAcctIDSource	AllocAcctIDSource (661)	Character string	1.2.0 to 4.2.3
fix.AllocAvgPx	AllocAvgPx (153)	Character string	1.0.0 to 4.2.3
fix.AllocCancReplaceReason	AllocCancReplaceReason (796)	Character string	1.2.0 to 4.2.3
fix.AllocClearingFeeIndicator	AllocClearingFeeIndicator (1136)	Character string	1.10.0 to 4.2.3
fix.AllocCustomerCapacity	AllocCustomerCapacity (993)	Character string	1.10.0 to 4.2.3
fix.AllocHandlInst	AllocHandlInst (209)	Character string	1.0.0 to 4.2.3
fix.AllocID	AllocID (70)	Character string	1.0.0 to 4.2.3
fix.AllocInterestAtMaturity	AllocInterestAtMaturity (741)	Character string	1.2.0 to 4.2.3
fix.AllocIntermedReqType	AllocIntermedReqType (808)	Character string	1.2.0 to 4.2.3
