general_type	oracle	postgres	mysql	mariadb	sqlserver	azuresql	azuredwh	redshift	snowflake	sqlite	d1	bigquery	clickhouse	duckdb	motherduck	ducklake	starrocks	trino	proton	athena
bigint	number(19)	bigint	bigint	bigint	bigint	bigint	bigint	bigint	bigint	bigint	bigint	int64	Nullable(Int64)	bigint	bigint	bigint	bigint	bigint	nullable(int64)	bigint
binary	varbinary()	bytea	varbinary	varbinary	varbinary	varbinary	varbinary	varchar(65535)	binary	blob	blob	bytes	Nullable(String)	binary	binary	binary	varbinary	varbinary	nullable(string)	binary
bool	varchar(5)	bool	char(5)	char(5)	varchar(5)	varchar(5)	varchar(5)	bool	boolean	boolean	boolean	bool	Nullable(String)	bool	bool	bool	char(5)	boolean	nullable(string)	boolean
date	date	date	date	date	date	date	date	date	date	text	text	date	Nullable(Date)	date	date	date	date	date	nullable(date)	date
datetime	timestamp(9)	timestamp	datetime(6)	datetime(6)	datetime2	datetime2	datetime2	timestamp	timestamp	text	text	timestamp	Nullable(DateTime64(6))	datetime	datetime	datetime	datetime	timestamp	nullable(datetime64(6))	timestamp
decimal	number(,)	numeric	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	real	real	numeric	Nullable(Decimal(,))	decimal(,)	decimal(,)	decimal(,)	decimal(,)	decimal(,)	nullable(decimal(,))	decimal(,)
integer	number(10)	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	int64	Nullable(Int64)	integer	integer	integer	bigint	integer	nullable(int64)	int
json	clob	jsonb	json	json	nvarchar(max)	nvarchar(max)	nvarchar(max)	varchar(65535)	variant	json	json	json	Nullable(String)	json	json	text	json	json	nullable(string)	string
smallint	number(5)	smallint	smallint	smallint	smallint	smallint	smallint	smallint	smallint	integer	integer	int64	Nullable(Int32)	smallint	smallint	smallint	smallint	smallint	nullable(int32)	smallint
string	varchar()	varchar()	varchar()	varchar()	nvarchar()	nvarchar()	nvarchar()	varchar()	varchar()	text	text	string	Nullable(String)	varchar()	varchar()	varchar()	varchar()	varchar	nullable(string)	string
text	clob	text	mediumtext	mediumtext	nvarchar(max)	nvarchar(max)	nvarchar(max)	varchar(65535)	text	text	text	string	Nullable(String)	text	text	text	varchar(65533)	varchar	nullable(string)	string
timestamp	timestamp(9)	timestamp	datetime(6)	datetime(6)	datetime2	datetime2	datetime2	timestamp	timestamp_ntz	text	text	timestamp	Nullable(DateTime64(6))	timestamp	timestamp	timestamp	datetime	timestamp	nullable(datetime64(6))	timestamp
timestampz	timestamp(9) with time zone	timestamptz	datetime(6)	datetime(6)	datetimeoffset	datetimeoffset	datetimeoffset	timestamptz	timestamp_tz	text	text	timestamp	Nullable(DateTime64(6))	timestamptz	timestamptz	timestamptz	datetime	timestamp with time zone	nullable(datetime64(6))	timestamp
float	number	double precision	double	double	float	float	float	double precision	float	real	real	float64	Nullable(Float64)	double	double	double	double	double	nullable(float64)	double
time	varchar()	varchar()	varchar()	varchar()	varchar()	varchar()	varchar()	varchar(65535)	varchar	text	text	string	Nullable(String)	time	time	time	varchar()	varchar	nullable(string)	string
timez	varchar()	varchar()	varchar()	varchar()	varchar()	varchar()	varchar()	varchar(65535)	varchar	text	text	string	Nullable(String)	time	time	time	varchar()	varchar	nullable(string)	string
uuid	varchar(36)	uuid	varchar(36)	varchar(36)	uniqueidentifier	uniqueidentifier	uniqueidentifier	varchar(36)	varchar(36)	text	text	string	Nullable(UUID)	uuid	uuid	uuid	varchar(36)	uuid	nullable(string)	string
