database	native_type	general_type	ddl_string	test	stats_allowed	Comment	
azuredwh	bigint	bigint	col_bigint bigint	TRUE	TRUE		
azuredwh	binary	binary	col_binary binary(100)	TRUE	FALSE		
azuredwh	bit	smallint	col_bit bit	FALSE	FALSE		
azuredwh	char	string	col_char char	TRUE	TRUE		
azuredwh	date	date	col_date date	TRUE	TRUE		
azuredwh	uniqueidentifier	uuid	col_uniqueidentifier uniqueidentifier	TRUE	FALSE		
azuredwh	datetime	datetime	col_datetime datetime	TRUE	TRUE		
azuredwh	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE		
azuredwh	datetimeoffset	timestampz	col_datetimeoffset datetimeoffset	TRUE	TRUE		
azuredwh	decimal	decimal	col_decimal decimal	TRUE	TRUE		
azuredwh	float	float	col_float float	TRUE	TRUE		
azuredwh	image	binary	col_image image	FALSE	FALSE		
azuredwh	int	integer	col_int int	TRUE	TRUE		
azuredwh	money	decimal	col_money money	TRUE	TRUE		
azuredwh	nchar	text	col_nchar nchar	TRUE	TRUE		
azuredwh	ntext	text	col_ntext ntext	TRUE	TRUE		
azuredwh	numeric	decimal	col_numeric numeric	TRUE	TRUE		
azuredwh	nvarchar	text	col_nvarchar nvarchar	TRUE	TRUE		
azuredwh	real	float	col_real real	TRUE	TRUE		
azuredwh	timestamp	binary	col_timestamp timestamp	TRUE	TRUE		
azuredwh	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE		
azuredwh	smallint	smallint	col_smallint smallint	TRUE	TRUE		
azuredwh	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE		
azuredwh	time	time	col_time time	TRUE	TRUE		
azuredwh	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE		
azuredwh	varbinary	binary	col_varbinary varbinary(100)	FALSE	FALSE		
azuredwh	varchar	text	col_varchar varchar	TRUE	TRUE		
azuresql	bigint	bigint	col_bigint bigint	TRUE	TRUE		
azuresql	binary	binary	col_binary binary(100)	TRUE	TRUE		
azuresql	timestamp	binary	col_timestamp timestamp	TRUE	TRUE		
azuresql	uniqueidentifier	uuid	col_uniqueidentifier uniqueidentifier	TRUE	FALSE		
azuresql	bit	smallint	col_bit bit	TRUE	TRUE		
azuresql	char	string	col_char char	TRUE	TRUE		
azuresql	date	date	col_date date	TRUE	TRUE		
azuresql	datetime	datetime	col_datetime datetime	TRUE	TRUE		
azuresql	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE		
azuresql	datetimeoffset	timestampz	col_datetimeoffset datetimeoffset	TRUE	TRUE		
azuresql	decimal	decimal	col_decimal decimal	TRUE	TRUE		
azuresql	float	float	col_float float	TRUE	TRUE		
azuresql	image	binary	col_image image	TRUE	TRUE		
azuresql	int	integer	col_int int	TRUE	TRUE		
azuresql	money	decimal	col_money money	TRUE	TRUE		
azuresql	nchar	text	col_nchar nchar	TRUE	TRUE		
azuresql	ntext	text	col_ntext ntext	TRUE	TRUE		
azuresql	numeric	decimal	col_numeric numeric	TRUE	TRUE		
azuresql	nvarchar	text	col_nvarchar nvarchar	TRUE	TRUE		
azuresql	real	float	col_real real	TRUE	TRUE		
azuresql	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE		
azuresql	smallint	smallint	col_smallint smallint	TRUE	TRUE		
azuresql	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE		
azuresql	time	time	col_time time	TRUE	TRUE		
azuresql	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE		
azuresql	varbinary	binary	col_varbinary varbinary(100)	TRUE	TRUE		
azuresql	varchar	text	col_varchar varchar	TRUE	TRUE		
athena	bigint	bigint	col_bigint bigint	TRUE	TRUE	8-byte signed integer	
athena	binary	binary	col_binary binary	TRUE	TRUE	Binary data	
athena	boolean	bool	col_boolean boolean	TRUE	TRUE	TRUE/FALSE value	
athena	char	string	col_char char(size)	TRUE	TRUE	Fixed-length character data	
athena	date	date	col_date date	TRUE	TRUE	Date type (YYYY-MM-DD)	
athena	decimal	decimal	col_decimal decimal(precision,scale)	TRUE	TRUE	Decimal type with configurable precision and scale	
athena	double	float	col_double double	TRUE	TRUE	Double precision floating-point number	
athena	float	float	col_float float	TRUE	TRUE	Single precision floating-point number	
athena	integer	integer	col_integer integer	TRUE	TRUE	4-byte signed integer	
athena	json	json	col_json json	TRUE	TRUE	JSON value	
athena	map	json	col_map map	FALSE	FALSE	Map of key-value pairs	
athena	array	json	col_array array	FALSE	FALSE	Array of values	
athena	row	json	col_row row	FALSE	FALSE	Structured value with named fields	
athena	smallint	smallint	col_smallint smallint	TRUE	TRUE	2-byte signed integer	
athena	string	text	col_string string	TRUE	TRUE	Variable-length character string	
athena	struct	json	col_struct struct	FALSE	FALSE	Structured data	
athena	text	text	col_text text	TRUE	TRUE	Variable-length character string	
athena	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	Timestamp (YYYY-MM-DD HH:MM:SS.fraction)	
athena	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	1-byte signed integer	
athena	varbinary	binary	col_varbinary varbinary	TRUE	TRUE	Variable-length binary data	
athena	varchar	text	col_varchar varchar(size)	TRUE	TRUE	Variable-length character string with specified maximum length	
athena	timestamp with time zone	timestampz	col_timestamp_with_time_zone timestamp with time zone	TRUE	TRUE	Timestamp with time zone	
athena	real	float	col_real real	TRUE	TRUE	Single precision floating-point number	
bigquery	array	json		FALSE	FALSE		
bigquery	record	json		FALSE	FALSE		
bigquery	geography	json		FALSE	FALSE		
bigquery	bool	bool	col_bool bool	FALSE	FALSE		
bigquery	boolean	bool	col_bool bool	FALSE	FALSE		
bigquery	bytes	binary	col_bytes bytes	TRUE	FALSE		
bigquery	date	date	col_date date	FALSE	FALSE		
bigquery	datetime	datetime	col_datetime datetime	TRUE	TRUE		
bigquery	float	float	col_float float64	TRUE	TRUE		
bigquery	float64	float	col_float64 float64	TRUE	TRUE		
